"city","range_value","BIKE","CAR","PT","WALK","walk_time","bike_time","pt_time","car_time"
"Hobart",78.875,0,1.5,0,0,1042.63053536021,361.287121154287,96.7210392530049,62.9816993746746
"Hobart",79.125,0,1.5,0,0,1045.93522802379,362.432246736392,96.7759196642655,63.0351473226659
"Hobart",79.375,0,1.5,0,0,1049.23992068738,363.577372318498,96.8305160990264,63.0883485258687
"Hobart",79.625,0,1.5,0,0,1052.54461335096,364.722497900603,96.8848307557372,63.1413046890101
"Hobart",79.875,0,1.5,0,0,1055.84930601454,365.867623482709,96.9388658102132,63.1940175011497
"Hobart",80.125,0,2.1,0,0,1059.15399867812,367.012749064814,96.9926234159259,63.2464886358591
"Hobart",80.375,0,2.1,0,0,1062.45869134171,368.15787464692,97.0461057042886,63.2987197513991
"Hobart",80.625,0,2.1,0,0,1065.76338400529,369.303000229025,97.0993147849388,63.3507124908944
"Hobart",80.875,0,2.1,0,0,1069.06807666887,370.448125811131,97.1522527460152,63.4024684825055
"Hobart",81.125,0,2.1,0,0,1072.37276933245,371.593251393236,97.2049216544308,63.4539893395994
"Hobart",81.375,0,2.1,0,0,1075.67746199603,372.738376975342,97.2573235561421,63.5052766609166
"Hobart",81.625,0,2.1,0,0,1078.98215465962,373.883502557447,97.309460476414,63.5563320307367
"Hobart",81.875,0,2.1,0,0,1082.2868473232,375.028628139553,97.3613344200807,63.6071570190417
"Hobart",82.125,0,2.1,0,0,1085.59153998678,376.173753721658,97.4129473718026,63.6577531816765
"Hobart",82.375,0,2.1,0,0,1088.89623265036,377.318879303764,97.4643012963196,63.7081220605082
"Hobart",82.625,0,2.1,0,0,1092.20092531395,378.464004885869,97.5153981387,63.7582651835823
"Hobart",82.875,0,2.1,0,0,1095.50561797753,379.609130467975,97.5662398245868,63.8081840652775
"Hobart",83.125,0,2.1,0,0,1098.81031064111,380.75425605008,97.6168282604388,63.8578802064578
"Hobart",83.375,0,2.1,0,0,1102.11500330469,381.899381632186,97.6671653337694,63.9073550946235
"Hobart",83.625,0,2.1,0,0,1105.41969596827,383.044507214291,97.7172529133812,63.9566102040589
"Hobart",83.875,0,2.1,0,0,1108.72438863186,384.189632796397,97.7670928495975,64.0056469959794
"Hobart",84.125,0,2.1,0,0,1112.02908129544,385.334758378502,97.8166869744897,64.0544669186756
"Hobart",84.375,0,2.1,0,0,1115.33377395902,386.479883960608,97.8660371021021,64.103071407656
"Hobart",84.625,0,2.1,0,0,1118.6384666226,387.625009542713,97.9151450286731,64.1514618857877
"Hobart",84.875,0,2.1,0,0,1121.94315928619,388.770135124819,97.9640125328531,64.1996397634352
"Hobart",85.125,0,1.3,0,0,1125.24785194977,389.915260706924,98.012641375919,64.2476064385976
"Hobart",85.375,0,1.3,0,0,1128.55254461335,391.06038628903,98.0610333019863,64.2953632970436
"Hobart",85.625,0,1.3,0,0,1131.85723727693,392.205511871135,98.1091900382172,64.3429117124451
"Hobart",85.875,0,1.3,0,0,1135.16192994052,393.350637453241,98.1571132950262,64.3902530465088
"Hobart",86.125,0,1.3,0,0,1138.4666226041,394.495763035346,98.2048047662825,64.4373886491062
"Hobart",86.375,0,1.3,0,0,1141.77131526768,395.640888617452,98.25226612951,64.484319858402
"Hobart",86.625,0,1.3,0,0,1145.07600793126,396.786014199557,98.2994990460835,64.5310480009809
"Hobart",86.875,0,1.3,0,0,1148.38070059484,397.931139781663,98.3465051614227,64.577574391972
"Hobart",87.125,0,1.3,0,0,1151.68539325843,399.076265363768,98.3932861051834,64.6239003351727
"Hobart",87.375,0,1.3,0,0,1154.99008592201,400.221390945874,98.4398434914458,64.6700271231707
"Hobart",87.625,0,1.3,0,0,1158.29477858559,401.366516527979,98.4861789188999,64.7159560374633
"Hobart",87.875,0,1.3,0,0,1161.59947124917,402.511642110085,98.532293971029,64.761688348577
